# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20210820-era5
# 
# 

time,lon,lat,ActCenPres,SectorPres,RelCenPres
1979-01-01,220.25,-68.25,982.8614,986.14056,-3.2791748
1979-02-01,195.75,-71.5,973.6442,982.67676,-9.032532
1979-03-01,223.5,-69.75,972.3631,980.1515,-7.788391
1979-04-01,270.0,-67.5,967.8683,979.04803,-11.179749
1979-05-01,190.25,-70.5,977.9783,987.4117,-9.433411
1979-06-01,213.5,-70.5,968.61414,978.6567,-10.0425415
1979-07-01,212.0,-74.75,973.7357,980.7674,-7.0316772
1979-08-01,256.5,-72.0,972.255,987.3896,-15.1345825
1979-09-01,207.0,-74.75,973.6415,982.25916,-8.617676
1979-10-01,251.25,-72.0,972.7957,982.63654,-9.84082
1979-11-01,200.5,-74.75,979.3052,986.58923,-7.2840576
1979-12-01,269.25,-66.25,986.6728,993.27936,-6.6065674
1980-01-01,283.75,-65.0,987.90814,991.8994,-3.991272
1980-02-01,281.25,-63.75,986.87524,992.5164,-5.6411743
1980-03-01,207.0,-76.5,985.75494,991.7701,-6.0151367
1980-04-01,208.25,-67.25,984.57227,992.92816,-8.355896
1980-05-01,212.0,-66.25,979.76544,987.4488,-7.6833496
1980-06-01,212.0,-75.25,978.15155,988.09344,-9.941895
1980-07-01,207.75,-64.0,982.6756,994.4645,-11.788879
1980-08-01,202.5,-70.75,976.6764,983.03076,-6.35437
1980-09-01,256.5,-69.5,980.3505,988.9056,-8.555054
1980-10-01,220.0,-70.75,964.00836,973.77545,-9.76709
1980-11-01,294.25,-62.5,982.26794,991.98145,-9.713501
1980-12-01,272.25,-69.75,985.05756,989.731,-4.673462
1981-01-01,210.0,-69.25,980.8787,987.26526,-6.3865356
1981-02-01,282.0,-67.0,976.4352,984.25183,-7.8166504
1981-03-01,220.25,-68.0,973.23663,985.5138,-12.277161
1981-04-01,231.0,-60.25,987.14,992.3271,-5.1870728
1981-05-01,194.0,-74.5,979.77655,988.68054,-8.903992
1981-06-01,219.5,-73.0,972.44904,984.0629,-11.613892
1981-07-01,228.5,-71.75,978.2861,987.65344,-9.367371
1981-08-01,273.25,-68.75,977.22546,990.1366,-12.911133
1981-09-01,206.0,-75.75,983.9761,992.28094,-8.304871
1981-10-01,210.75,-71.5,975.66846,979.8347,-4.16626
1981-11-01,254.0,-67.5,968.7709,975.9757,-7.204834
1981-12-01,229.25,-71.5,975.5034,983.3648,-7.861389
1982-01-01,266.25,-65.0,983.4271,988.61505,-5.1879272
1982-02-01,243.25,-66.75,978.9613,984.0006,-5.0393066
1982-03-01,276.5,-67.75,973.8175,980.80774,-6.9902344
1982-04-01,271.0,-70.75,967.3622,979.60187,-12.239685
1982-05-01,264.0,-67.75,976.70276,985.3702,-8.667419
1982-06-01,203.5,-73.5,975.57837,984.7275,-9.149109
1982-07-01,208.5,-69.25,981.1214,989.4772,-8.355774
1982-08-01,198.0,-72.75,966.5206,983.57263,-17.052002
1982-09-01,210.0,-73.75,968.183,980.06323,-11.880249
1982-10-01,250.25,-72.75,976.06915,984.59607,-8.5269165
1982-11-01,175.0,-64.75,974.4082,984.8365,-10.428284
1982-12-01,276.75,-61.75,982.7491,993.8096,-11.060486
1983-01-01,277.25,-63.25,986.2416,995.9358,-9.694214
1983-02-01,258.5,-71.5,985.26685,993.13043,-7.8635864
1983-03-01,207.0,-69.0,975.3094,982.9546,-7.6452026
1983-04-01,220.5,-69.75,966.2364,980.05927,-13.822876
1983-05-01,209.5,-67.5,971.5368,979.9178,-8.380981
1983-06-01,204.5,-71.0,981.02014,989.3781,-8.357971
1983-07-01,237.5,-70.5,971.9278,980.8594,-8.93158
1983-08-01,222.0,-72.75,968.92194,978.69617,-9.774231
1983-09-01,243.25,-71.25,977.3655,985.7566,-8.391113
1983-10-01,203.5,-73.75,961.2368,973.8398,-12.602966
1983-11-01,264.75,-69.5,970.19055,978.6265,-8.435974
1983-12-01,247.5,-69.25,978.2777,984.99207,-6.7143555
1984-01-01,256.25,-64.75,981.52344,992.2868,-10.763367
1984-02-01,285.0,-63.5,983.3398,989.4824,-6.142639
1984-03-01,251.25,-68.25,974.64935,982.4742,-7.824829
