# 
# Amundsen Sea Low (ASL) Index version 3
#   (derived from monthly ERA5 Reanalysis data)
# 
# Dr J. Scott Hosking
#   British Antarctic Survey
#   Twitter: @scotthosking
# 
# For more information see:
#   Website: https://scotthosking.com/asl_index
#   GitHub:  https://github.com/scotthosking/amundsen_sea_low_index
# 
# Column Labels:
#   time       = YYYY-MM-01 (monthly data)
#   SectorPres = Area-average sea level pressure over sector (170-298 E : 60-80 S)
#   ActCenPres = Actual central pressure of ASL
#   lon        = Longitudinal location of ASL (degrees East)
#   lat        = Latitudinal location of ASL
#   RelCenPres = Relative central pressure (ActCenPres 'minus' SectorPres)
# 
# The ASL (low pressure system) detection algorithm may be improved over time. Therefore 
# it is recommended that the version number below is noted when using these data.
#   ASLi_version_id = 3.20210820-era5-TESTING
# 
# 

time,lon,lat,ActCenPres,SectorPres,RelCenPres
1978-12-01,206.5,-71.25,980.137,984.4087,-4.2716675
1979-03-01,215.0,-72.0,977.53375,982.20374,-4.669983
1979-06-01,217.25,-74.25,973.9419,982.2713,-8.329407
1979-09-01,208.25,-75.25,976.4148,983.82837,-7.413574
1979-12-01,277.0,-64.75,987.65625,992.565,-4.9087524
1980-03-01,202.5,-71.5,984.8588,990.71564,-5.8568115
1980-06-01,204.25,-72.0,980.3181,988.5295,-8.211365
1980-09-01,252.0,-70.0,979.31714,984.8875,-5.5703735
1980-12-01,275.5,-69.75,982.9109,987.08264,-4.171753
1981-03-01,213.5,-71.0,982.14276,988.8405,-6.697754
1981-06-01,251.25,-72.25,979.1037,987.2843,-8.180603
1981-09-01,207.0,-73.0,978.0259,982.6971,-4.6712036
1981-12-01,262.25,-68.75,981.859,985.32684,-3.4678345
1982-03-01,267.75,-70.0,973.1484,981.9266,-8.778198
1982-06-01,202.5,-72.75,975.31396,985.9258,-10.611816
1982-09-01,215.75,-73.25,976.17914,983.1653,-6.986145
1982-12-01,277.5,-64.25,986.3229,994.2919,-7.968994
1983-03-01,215.25,-69.5,971.7835,980.97723,-9.193726
1983-06-01,217.75,-73.0,975.7553,982.97784,-7.222534
1983-09-01,206.0,-74.25,971.3237,979.40765,-8.083923
1983-12-01,256.0,-65.5,982.9493,988.9204,-5.9711304
1984-03-01,208.25,-73.25,978.7644,984.48474,-5.720337
1984-06-01,208.0,-74.75,975.54913,985.5357,-9.986572
1984-09-01,205.5,-74.0,976.2771,982.4385,-6.161377
1984-12-01,258.25,-65.5,985.9485,989.51404,-3.5655518
1985-03-01,222.75,-69.75,977.0313,984.26,-7.2286987
1985-06-01,226.0,-73.5,975.6934,985.11224,-9.418823
1985-09-01,210.0,-75.0,970.42944,977.8256,-7.396179
1985-12-01,249.0,-68.25,978.68726,985.19293,-6.5056763
1986-03-01,205.5,-72.25,985.2827,989.42535,-4.142639
1986-06-01,279.25,-70.5,980.0131,989.5707,-9.557556
1986-09-01,206.5,-75.75,973.68353,983.075,-9.3914795
1986-12-01,259.25,-68.0,982.56,988.11444,-5.5544434
1987-03-01,255.0,-68.25,976.9098,983.0689,-6.1591187
1987-06-01,195.0,-72.0,979.18823,988.9814,-9.793152
1987-09-01,269.5,-70.25,973.18805,980.482,-7.2939453
1987-12-01,263.25,-68.5,980.93604,986.27185,-5.3358154
1988-03-01,208.75,-70.25,975.5954,983.28,-7.6846313
1988-06-01,197.5,-72.0,976.11774,986.19867,-10.080933
1988-09-01,231.75,-69.5,977.2263,983.26764,-6.041321
